submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
04/07/2022,UT,928621,928621,0,699,0,4730,4504,226,16,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,GA,2502667,1940907,561760,475,109,37270,31268,6002,45,18,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,WV,498322,395279,103043,87,23,6749,,,8,1,04/08/2022 01:45:38 PM,Agree,Not agree
04/07/2022,AK,240674,,,0,0,1195,,,0,0,04/08/2022 01:45:38 PM,N/A,N/A
04/07/2022,CO,1388869,1264762,124107,485,60,11980,10520,1460,-2,0,04/07/2022 12:00:00 AM,Agree,Agree
04/07/2022,KS,770275,579239,191036,0,0,8397,,,0,0,04/08/2022 01:45:38 PM,Agree,N/A
04/07/2022,MP,11158,11158,0,0,0,33,33,0,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,NYC,2322313,1975998,346315,2557,368,40105,34604,5501,4,1,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,OH,2676629,2072191,604438,3828,1734,38166,38166,0,124,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,TN,2021767,1536033,485734,382,144,25882,19157,6725,5,0,04/06/2022 12:00:00 AM,Agree,Agree
04/07/2022,SD,237246,,,0,0,2893,2893,0,0,0,04/08/2022 01:45:38 PM,N/A,Agree
04/07/2022,NM,518820,,,115,0,7351,,,18,0,04/08/2022 01:45:38 PM,N/A,Not agree
04/07/2022,RMI,4,4,0,0,0,0,0,0,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,WA,1465517,,,1101,109,12554,,,10,0,04/07/2022 12:00:00 AM,N/A,N/A
04/07/2022,IL,3078124,3078124,0,1496,0,37751,33454,4297,13,2,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,CA,9105181,8503930,601251,0,0,88355,,,0,0,04/08/2022 01:45:38 PM,Agree,Not agree
04/07/2022,MS,795613,437206,358407,205,105,12410,8177,4233,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,MD,1015358,,,644,0,14371,14107,264,3,0,04/08/2022 01:45:38 PM,N/A,Agree
04/07/2022,NV,714478,659249,55229,179,31,10154,,,18,0,04/08/2022 01:45:38 PM,Agree,
04/07/2022,NC,2640582,2203705,436877,806,158,24543,21393,3150,3,0,04/07/2022 12:00:00 AM,Agree,Agree
04/07/2022,ID,444584,348383,96201,61,9,4892,3989,903,0,1,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,DC,137603,,,0,0,1332,,,0,0,04/08/2022 01:45:38 PM,,
04/07/2022,AZ,2014020,1781316,232704,0,0,29681,25781,3900,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,FSM,7,7,0,0,0,0,0,0,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,RI,345036,,,345,0,3524,,,0,0,04/07/2022 12:00:00 AM,Not agree,N/A
04/07/2022,OR,706252,706252,0,435,0,7281,7281,0,57,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,SC,1471071,1155887,315184,171,62,17660,,,0,0,04/07/2022 12:00:00 AM,Agree,Not agree
04/07/2022,GU,47541,,,27,27,352,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,MI,2393265,2083827,309438,0,0,35776,32923,2853,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,CT,740203,663144,77059,749,65,10795,8841,1954,0,1,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,ND,240062,180220,59842,42,23,2251,,,0,0,04/08/2022 01:45:38 PM,Agree,Not agree
04/07/2022,MO,1411722,,,0,0,19993,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,ME,237480,172005,65475,263,62,2221,1999,222,2,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,IN,1692248,,,0,0,23460,22532,928,0,0,04/08/2022 01:45:38 PM,Not agree,Agree
04/07/2022,WI,1588689,1395695,192994,693,164,14340,12820,1520,5,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,NE,478043,336443,141600,67,69,4175,3418,757,11,4,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,VI,15740,,,14,0,111,,,0,0,04/08/2022 01:45:38 PM,,
04/07/2022,AL,1296093,932944,363149,188,93,19577,15025,4552,3,0,04/07/2022 12:00:00 AM,Agree,Agree
04/07/2022,MT,272826,212459,60367,30,6,3255,3255,0,6,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,NH,303472,,,204,0,2457,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,DE,258753,235741,23012,165,21,2925,2631,294,0,0,04/09/2022 12:00:00 AM,Agree,Agree
04/07/2022,VT,109324,,,217,8,590,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,LA,1169238,,,114,24,17175,14637,2538,13,4,04/08/2022 01:45:38 PM,Not agree,Agree
04/07/2022,VA,1675858,1203108,472750,1285,406,19859,16561,3298,36,9,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,NJ,2210227,1907030,303197,2109,426,33289,30283,3006,11,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,WY,156264,123223,33041,0,0,1796,1796,0,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,MN,1432617,,,615,139,12674,12434,240,5,0,04/08/2022 01:45:38 PM,N/A,Agree
04/07/2022,KY,1322724,902122,420602,240,79,15848,13702,2146,2,0,04/07/2022 12:00:00 AM,Agree,Agree
04/07/2022,MA,1708136,1572896,135240,1976,216,20141,19028,1113,7,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,PW,4098,,,28,0,6,,,0,0,04/08/2022 01:45:38 PM,,
04/07/2022,TX,6685984,,,3319,2390,86173,,,39,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,AS,5018,,,0,0,8,,,0,0,04/08/2022 01:45:38 PM,,
04/07/2022,AR,833485,,,105,0,11301,,,5,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,FL,5862897,,,2152,482,73810,,,19,0,04/07/2022 12:00:00 AM,Not agree,Not agree
04/07/2022,PR,484286,271142,213144,1114,682,4172,3476,696,1,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,HI,235797,,,0,0,1370,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,OK,1035301,756646,278655,0,0,14010,9808,4202,0,0,04/08/2022 01:45:38 PM,Agree,Agree
04/07/2022,IA,759475,,,0,0,9454,,,0,0,04/08/2022 01:45:38 PM,Not agree,Not agree
04/07/2022,PA,2786509,2309558,476951,1163,272,44391,,,21,19,04/08/2022 01:45:38 PM,Agree,Not agree
04/07/2022,NY,2687143,,,3438,0,27278,,,6,0,04/08/2022 01:45:38 PM,Not agree,Not agree
